year_month,month_of_release,direction,citizenship,visa,country_of_residence,mean_estimate,standard_error,status
2017-11,2018-11,Arrivals,TOTAL,Student,TOTAL,1564,8,Provisional
2017-11,2018-11,Arrivals,TOTAL,Student,United Arab Emirates,17,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,Student,United Kingdom,33,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,Student,United States of America,19,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,Student,Uruguay,1,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,Student,Vanuatu,3,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,Student,Viet Nam,26,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Afghanistan,5,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Albania,2,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Algeria,2,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Angola,1,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Antarctica,1,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Argentina,77,2,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Australia,2128,18,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Austria,10,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Bahrain,4,0,Provisional
