year_month,month_of_release,direction,citizenship,visa,country_of_residence,mean_estimate,standard_error,status
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Bangladesh,22,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Belarus,2,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Belgium,20,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Bermuda,2,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Bolivia,4,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Botswana,2,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Brazil,156,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Brunei Darussalam,3,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Bulgaria,1,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Burundi,1,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Cambodia,13,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Canada,221,3,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Cayman Islands,3,0,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,Chile,59,1,Provisional
2017-11,2018-11,Arrivals,TOTAL,TOTAL,"China, People's Republic of",944,11,Provisional
